target_id	length	eff_length	est_counts	tpm
Tfru06123_t	603	404	10668	1937.74
Tfru30712_t	603	404	10668	1937.74
Tfru03648_t	870	671	500	54.6816
Tfru14711_t	891	692	165	17.4973
Tfru14834_t	744	545	0	0
Tfru14835_t	402	203	1	0.361491
Tfru14836_t	2532	2333	161.592	5.08276
Tfru09187_t	762	563	104	13.5556
Tfru09188_t	792	593	0	0
Tfru09189_t	1881	1682	866	37.782
Tfru09190_t	1119	920	1	0.0797638
Tfru09191_t	1050	851	0	0
Tfru09192_t	1977	1778	39.24	1.61953
Tfru09193_t	720	521	39	5.49314
Tfru09194_t	579	380	0	0
Tfru09195_t	939	740	0	0
Tfru09196_t	468	269	0	0
Tfru09197_t	534	335	0	0
Tfru09198_t	513	314	23	5.37516
Tfru09199_t	354	155	0	0
Tfru09200_t	3357	3158	1	0.0232371
Tfru09201_t	3069	2870	26	0.664791
Tfru09202_t	3075	2876	2	0.0510311
Tfru09203_t	2010	1811	88	3.56581
Tfru09204_t	456	257	0	0
Tfru09205_t	1026	827	109	9.67196
Tfru09206_t	1113	914	0	0
Tfru09207_t	576	377	0	0
Tfru09208_t	840	641	11	1.2593
Tfru09209_t	1008	809	166	15.0575
Tfru09210_t	1548	1349	1	0.0543978
Tfru09211_t	1065	866	153	12.9648
Tfru09212_t	321	122	4	2.40599
Tfru09213_t	1428	1229	43	2.5675
Tfru09214_t	1443	1244	482	28.4328
Tfru09215_t	357	158	0	0
Tfru09216_t	1521	1322	51	2.83095
Tfru09217_t	1836	1637	19	0.851723
Tfru09218_t	1422	1223	1	0.0600022
Tfru09219_t	1161	962	2	0.152563
Tfru09220_t	387	188	0	0
Tfru09221_t	429	230	51	16.2718
Tfru09222_t	696	497	232	34.2551
Tfru09223_t	3159	2960	370	9.17283
Tfru09224_t	870	671	215	23.5131
Tfru09225_t	447	248	141	41.7216
Tfru09226_t	879	680	0	0
Tfru09227_t	393	194	10	3.78261
Tfru01397_t	384	185	38	15.0732
Tfru01398_t	402	203	22	7.9528
Tfru01399_t	1083	884	4.41282	0.366318
Tfru01400_t	1041	842	195.66	17.0523
Tfru01401_t	312	113	0	0
Tfru01402_t	342	143	73	37.4611
Tfru01403_t	330	131	0	0
Tfru01404_t	1689	1490	0	0
Tfru01405_t	1284	1085	3	0.202901
Tfru05778_t	822	623	64	7.53851
Tfru05779_t	426	227	919	297.087
Tfru05780_t	693	494	49	7.27885
Tfru05781_t	1831	1632	394	17.7162
Tfru30618_t	702	503	19	2.77191
Tfru30619_t	1200	1001	20	1.46619
Tfru30620_t	1710	1511	230	11.1701
Tfru30621_t	1515	1316	195	10.8736
Tfru20942_t	489	290	1	0.253044
Tfru31153_t	852	653	4	0.449511
Tfru31154_t	504	305	98	23.5787
Tfru31155_t	3048	2849	2727	70.2403
Tfru31156_t	420	221	0	0
Tfru31157_t	1257	1058	0	0
Tfru31158_t	873	674	0	0
Tfru31159_t	1263	1064	1	0.0689687
Tfru31160_t	2709	2510	396	11.5775
Tfru31161_t	363	164	6	2.68473
Tfru31162_t	555	356	7	1.44292
Tfru31163_t	1146	947	332	25.7266
Tfru31164_t	1350	1151	0	0
Tfru31165_t	1410	1211	292	17.6943
Tfru31166_t	624	425	0	0
Tfru31167_t	1389	1190	1	0.0616661
Tfru31168_t	693	494	5	0.742739
Tfru31169_t	543	344	0	0
Tfru31170_t	1086	887	469	38.801
Tfru31171_t	2304	2105	324	11.295
Tfru31172_t	486	287	0	0
Tfru31173_t	1797	1598	540.183	24.8061
Tfru31174_t	684	485	2	0.302609
Tfru31175_t	4986	4787	151	2.31477
Tfru06117_t	384	185	0	0
Tfru23535_t	771	572	0	0
Tfru23536_t	1239	1040	0	0
Tfru26940_t	303	104	0	0
Tfru26941_t	3243	3044	352.26	8.49205
Tfru26942_t	873	674	37.2105	4.05135
Tfru26943_t	1287	1088	6	0.404684
Tfru26944_t	306	107	0	0
Tfru26945_t	498	299	0	0
Tfru26946_t	426	227	0	0
Tfru06765_t	1140	941	0	0
Tfru06766_t	414	215	6	2.04789
Tfru06767_t	2094	1895	107	4.14351
Tfru06768_t	306	107	8	5.48655
Tfru06769_t	1923	1724	0	0
Tfru06770_t	1308	1109	221	14.6236
Tfru06771_t	3546	3347	0	0
Tfru06772_t	2094	1895	0	0
Tfru06773_t	1344	1145	0	0
