target_id	length	eff_length	est_counts	tpm
Tfru06123_t	603	404	14798	2545.26
Tfru30712_t	603	404	14798	2545.26
Tfru03648_t	870	671	601	62.2389
Tfru14711_t	891	692	260	26.1082
Tfru14834_t	744	545	0	0
Tfru14835_t	402	203	3	1.02692
Tfru14836_t	2532	2333	211	6.2846
Tfru09187_t	762	563	118	14.5641
Tfru09188_t	792	593	0	0
Tfru09189_t	1881	1682	755	31.1911
Tfru09190_t	1119	920	1	0.0755305
Tfru09191_t	1050	851	2	0.163309
Tfru09192_t	1977	1778	46.2931	1.80923
Tfru09193_t	720	521	29	3.86786
Tfru09194_t	579	380	0	0
Tfru09195_t	939	740	0	0
Tfru09196_t	468	269	0	0
Tfru09197_t	534	335	1	0.207427
Tfru09198_t	513	314	37	8.18808
Tfru09199_t	354	155	0	0
Tfru09200_t	3357	3158	1	0.0220038
Tfru09201_t	3069	2870	27	0.65372
Tfru09202_t	3075	2876	8	0.193291
Tfru09203_t	2010	1811	74	2.83938
Tfru09204_t	456	257	0	0
Tfru09205_t	1026	827	88	7.39413
Tfru09206_t	1113	914	0	0
Tfru09207_t	576	377	0	0
Tfru09208_t	840	641	19	2.05971
Tfru09209_t	1008	809	181	15.5468
Tfru09210_t	1548	1349	0	0
Tfru09211_t	1065	866	185	14.8444
Tfru09212_t	321	122	3	1.70872
Tfru09213_t	1428	1229	45	2.54431
Tfru09214_t	1443	1244	736	41.1119
Tfru09215_t	357	158	0	0
Tfru09216_t	1521	1322	103	5.41397
Tfru09217_t	1836	1637	6	0.25469
Tfru09218_t	1422	1223	3	0.170453
Tfru09219_t	1161	962	1	0.0722329
Tfru09220_t	387	188	0	0
Tfru09221_t	429	230	87	26.2846
Tfru09222_t	696	497	261	36.4917
Tfru09223_t	3159	2960	390	9.15552
Tfru09224_t	870	671	223	23.0936
Tfru09225_t	447	248	197	55.1982
Tfru09226_t	879	680	0	0
Tfru09227_t	393	194	11	3.94004
Tfru01397_t	384	185	39	14.6488
Tfru01398_t	402	203	20	6.84611
Tfru01399_t	1083	884	3.54685	0.278805
Tfru01400_t	1041	842	233	19.2289
Tfru01401_t	312	113	2	1.22988
Tfru01402_t	342	143	98	47.6212
Tfru01403_t	330	131	0	0
Tfru01404_t	1689	1490	0	0
Tfru01405_t	1284	1085	3	0.192133
Tfru05778_t	822	623	143	15.9499
Tfru05779_t	426	227	1643	502.947
Tfru05780_t	693	494	68	9.56516
Tfru05781_t	1831	1632	397	16.9036
Tfru30618_t	702	503	22	3.03924
Tfru30619_t	1200	1001	13	0.902442
Tfru30620_t	1710	1511	266	12.2328
Tfru30621_t	1515	1316	196	10.3493
Tfru20942_t	489	290	0	0
Tfru31153_t	852	653	3	0.319241
Tfru31154_t	504	305	101	23.0108
Tfru31155_t	3048	2849	3971	96.854
Tfru31156_t	420	221	0	0
Tfru31157_t	1257	1058	0	0
Tfru31158_t	873	674	0	0
Tfru31159_t	1263	1064	0	0
Tfru31160_t	2709	2510	467	12.9287
Tfru31161_t	363	164	8	3.38966
Tfru31162_t	555	356	5	0.975956
Tfru31163_t	1146	947	443	32.506
Tfru31164_t	1350	1151	0	0
Tfru31165_t	1410	1211	307	17.6159
Tfru31166_t	624	425	0	0
Tfru31167_t	1389	1190	1	0.0583933
Tfru31168_t	693	494	1	0.140664
Tfru31169_t	543	344	0	0
Tfru31170_t	1086	887	598	46.8476
Tfru31171_t	2304	2105	375	12.3791
Tfru31172_t	486	287	0	0
Tfru31173_t	1797	1598	540.473	23.5021
Tfru31174_t	684	485	2	0.286549
Tfru31175_t	4986	4787	202	2.93223
Tfru06117_t	384	185	0	0
Tfru23535_t	771	572	0	0
Tfru23536_t	1239	1040	0	0
Tfru26940_t	303	104	0	0
Tfru26941_t	3243	3044	391.733	8.94242
Tfru26942_t	873	674	40.9556	4.22244
Tfru26943_t	1287	1088	5.65305	0.361047
Tfru26944_t	306	107	0	0
Tfru26945_t	498	299	0	0
Tfru26946_t	426	227	0	0
Tfru06765_t	1140	941	0	0
Tfru06766_t	414	215	10	3.232
Tfru06767_t	2094	1895	98	3.59358
Tfru06768_t	306	107	9	5.84479
Tfru06769_t	1923	1724	0	0
Tfru06770_t	1308	1109	194	12.1557
Tfru06771_t	3546	3347	0	0
Tfru06772_t	2094	1895	0	0
Tfru06773_t	1344	1145	0	0
Tfru06774_t	1500	1301	13	0.694346
Tfru09709_t	756	557	134	16.7171
Tfru09710_t	1497	1298	291	15.5786
Tfru09711_t	1236	1037	0	0
Tfru09712_t	2865	2666	340	8.86194
Tfru09713_t	2505	2306	283	8.52781
Tfru09714_t	2259	2060	956	32.2479
Tfru09715_t	576	377	240	44.2364
Tfru09716_t	1554	1355	339	17.3848
Tfru09717_t	501	302	498	114.586
Tfru09718_t	1998	1799	332	12.8238
Tfru09719_t	402	203	104	35.5998
Tfru09720_t	933	734	68	6.43759
Tfru09721_t	1494	1295	19	1.01952
Tfru09722_t	1674	1475	212	9.98744
Tfru09723_t	1344	1145	185	11.2273
Tfru09724_t	423	224	19	5.89408
Tfru09725_t	648	449	0	0
Tfru09726_t	432	233	113	33.7002
